Id,Nombre,Tipo,Temperatura ideal,Humedad ideal,Luz ideal,Tamaño,,,,,,,,,,
1,Afelandra,Herbácea  ,25,700,600,25,,,,,,,,,,
2,Aglonema Perdiz,Herbácea  ,22,600,500,40,,,,,,,,,,
3,Aglonema Reina,Herbácea  ,20,400,700,30,,,,,,,,,,
4,Aglonema Rosada,Herbácea  ,22,600,700,15,,,,,,,,,,
5,Aglonema Silver,Herbácea  ,28,300,800,60,,,,,,,,,,
6,Aglonema Valentina,Herbácea  ,24,350,700,20,,,,,,,,,,
7,Albahaca,Herbácea  ,25,300,716,130,,,,,,,,,,
8,Alocasia,Herbácea  ,23,350,600,10,,,,,,,,,,
9,Alocasia Bronce,Herbácea  ,24,300,700,30,,,,,,,,,,
10,Alocasia Cucullata,Herbácea  ,24,300,700,15,,,,,,,,,,
11,Alocasia Hoja Aserrada,Herbácea  ,25,200,800,5,,,,,,,,,,
12,Alocasia Negra,Herbácea  ,28,250,900,100,,,,,,,,,,
13,Aloe Vera,Suculenta  ,24,250,700,40,,,,,,,,,,
14,Anturio Naranja,Herbácea  ,24,399,300,30,,,,,,,,,,
15,Anturio Rojo,Herbácea  ,24,399,350,20,,,,,,,,,,
16,Anturio Rosado,Herbácea  ,22,394,400,60,,,,,,,,,,
17,Anturio Spatofilium,Herbácea  ,26,405,300,30,,,,,,,,,,
18,Aralia Elegantisima,Arbustiva  ,24,399,300,60,,,,,,,,,,
19,Aralia Millonaria,Arbustiva  ,25,402,250,15,,,,,,,,,,
20,Aralia Variegada,Arbustiva  ,24,399,300,15,,,,,,,,,,
21,Azalea,Arbustiva  ,23,396,300,40,,,,,,,,,,
22,Bambú de la Suerte,Herbácea  ,24,399,300,15,,,,,,,,,,
23,Begonias Hoja,Herbácea  ,24,399,350,30,,,,,,,,,,
24,Body Cactus Mini,Suculenta  ,24,399,350,25,,,,,,,,,,
25,bonsai Ficus Nerifolia,Arbustiva  ,23,396,300,60,,,,,,,,,,
26,Bromelia Neoregelia Roja,Suculenta  ,24,399,300,30,,,,,,,,,,
27,Bromelia Samba Margan,Suculenta  ,24,300,700,15,,,,,,,,,,
28,Bromelia Shultensiana Verde,Suculenta  ,26,300,800,60,,,,,,,,,,
29,Bromelia Soledo,Suculenta  ,25,400,600,30,,,,,,,,,,
30,Bromelia Voila,Suculenta  ,24,300,700,40,,,,,,,,,,
31,Bromelis Cherry,Suculenta,24,300,700,30,,,,,,,,,,
32,Buxus Japonés (Kingsville),Suculenta,24,350,700,20,,,,,,,,,,
33,Cactus Asiento de suegra,Suculenta,23,250,600,100,,,,,,,,,,
34,Cactus Asiento de Suegra,Suculenta,28,250,900,60,,,,,,,,,,
35,Cactus Asiento de suegra pequeño,Suculenta,26,300,800,40,,,,,,,,,,
36,Cactus Bola azul,Suculenta,24,300,700,30,,,,,,,,,,
37,Cactus botón,Suculenta,24,300,700,20,,,,,,,,,,
38,Cactus Cactus cerebro,Suculenta,23,350,600,10,,,,,,,,,,
39,Cactus cola de rata,Suculenta,24,300,700,15,,,,,,,,,,
40,Cactus Columnar,Suculenta,25,300,800,30,,,,,,,,,,
41,Cactus coral,Suculenta,25,300,800,20,,,,,,,,,,
42,Cactus de flor blanca,Suculenta,25,300,700,40,,,,,,,,,,
43,Cactus Dedo de dama,Suculenta,24,300,700,20,,,,,,,,,,
44,Cactus disco,Suculenta,22,400,600,50,,,,,,,,,,
45,Cactus estrella,Suculenta,24,350,700,15,,,,,,,,,,
46,Cactus Flor de la reina de la noche,Suculenta,24,350,700,15,,,,,,,,,,
47,Cactus Injertado,Suculenta,23,350,600,10,,,,,,,,,,
48,Cactus muérdago,Suculenta,24,300,700,30,,,,,,,,,,
49,Cactus panda,Suculenta,24,300,800,15,,,,,,,,,,
50,Cactus Peyote,Suculenta,23,300,700,10,,,,,,,,,,
51,Cactus Rebutia solar,Suculenta,24,300,700,15,,,,,,,,,,
52,Cactus Rosa Mini,Suculenta,24,300,700,20,,,,,,,,,,
53,Cactus serpiente,Suculenta,25,300,800,20,,,,,,,,,,
54,Cactus Sombrero de obispo,Suculenta,24,250,700,40,,,,,,,,,,
55,Cadena de Monedas,Suculenta,24,350,700,15,,,,,,,,,,
56,Calathea Pincel Blanca,Suculenta,25,300,800,25,,,,,,,,,,
57,Calathea Soldadito Leuconeura,Suculenta,24,300,700,30,,,,,,,,,,
58,Carnívora Nepenthes,Carnivora,24,350,700,15,,,,,,,,,,
59,Carnivora Venus,Carnivora,24,300,700,15,,,,,,,,,,
60,Cerezo de Barbados,Suculenta,24,350,700,15,,,,,,,,,,
61,Cidron,Suculenta,24,300,700,25,,,,,,,,,,
62,Cotoneaster,Suculenta,22,400,600,60,,,,,,,,,,
63,Espatifilo,Suculenta,25,300,700,40,,,,,,,,,,
64,Estevia,Suculenta,24,300,700,30,,,,,,,,,,
65,Ficus Elastica,Suculenta,24,300,700,15,,,,,,,,,,
66,Ficus Pandurata,Suculenta,25,400,600,30,,,,,,,,,,
67,Ficus Verde Esmeralda,Suculenta,24,350,700,15,,,,,,,,,,
68,Fitonia,Suculenta,24,300,700,30,,,,,,,,,,
69,Fitonia White,Suculenta,24,250,700,40,,,,,,,,,,
